amount,payment_method,error_source,error_step,error_reason,hour_of_day,day_of_week,previous_attempts,recovered_within_24h
129759,upi,unknown,unknown,unknown,11,3,3,0
446795,upi,customer,payment_authentication,incorrect_pin,23,1,1,1
441127,card,gateway,payment_processing,payment_timed_out,19,3,3,0
457105,netbanking,customer,payment_authentication,expired_card,21,1,1,0
37694,netbanking,customer,payment_authentication,expired_card,2,3,4,0
147284,card,gateway,payment_processing,payment_timed_out,11,2,1,1
62929,wallet,customer,payment_authentication,incorrect_pin,22,6,5,1
61036,netbanking,gateway,payment_processing,payment_timed_out,19,5,2,1
27518,upi,customer,payment_authorization,insufficient_funds,10,1,3,1
220559,wallet,customer,payment_authentication,expired_card,1,6,1,0
44524,netbanking,gateway,payment_processing,payment_timed_out,6,4,2,0
148586,netbanking,customer,payment_authentication,expired_card,13,2,5,0
490701,netbanking,customer,payment_authorization,insufficient_funds,15,3,2,1
442050,netbanking,bank,payment_processing,bank_unavailable,22,1,3,0
468608,upi,bank,payment_processing,bank_unavailable,2,0,5,1
19280,netbanking,customer,payment_authentication,incorrect_pin,9,2,4,1
330795,wallet,gateway,payment_processing,payment_timed_out,6,5,1,1
317306,card,customer,payment_authentication,incorrect_pin,23,2,2,1
67249,netbanking,bank,payment_processing,bank_unavailable,3,2,2,1
453185,upi,customer,payment_authentication,expired_card,5,6,2,0
202784,card,customer,payment_authentication,incorrect_pin,7,6,2,0
488359,card,unknown,unknown,unknown,2,3,3,0
57874,wallet,bank,payment_processing,bank_unavailable,15,0,2,0
325415,upi,customer,payment_authentication,incorrect_pin,12,4,2,0
66237,card,customer,payment_authentication,expired_card,13,5,3,0
475012,card,customer,payment_authentication,expired_card,21,6,2,0
304192,wallet,customer,payment_authentication,expired_card,10,6,2,0
38754,wallet,gateway,payment_processing,payment_timed_out,7,4,3,0
108196,upi,bank,payment_processing,bank_unavailable,9,0,5,1
180280,upi,gateway,payment_processing,payment_timed_out,19,1,3,1
7417,wallet,bank,payment_processing,bank_unavailable,12,5,3,0
5348,upi,customer,payment_authentication,expired_card,4,4,5,1
462815,wallet,customer,payment_authentication,incorrect_pin,16,3,4,1
490611,card,customer,payment_authentication,expired_card,17,2,2,1
268570,wallet,customer,payment_authorization,insufficient_funds,5,4,2,1
451461,card,gateway,payment_processing,payment_timed_out,13,2,3,0
327958,card,gateway,payment_processing,payment_timed_out,13,1,3,0
14998,netbanking,unknown,unknown,unknown,4,6,1,1
357533,upi,unknown,unknown,unknown,0,2,1,0
10048,netbanking,customer,payment_authentication,incorrect_pin,17,1,2,1
408438,netbanking,customer,payment_authentication,incorrect_pin,14,0,5,0
184118,wallet,unknown,unknown,unknown,17,3,4,0
71487,wallet,bank,payment_processing,bank_unavailable,9,6,5,0
130010,netbanking,customer,payment_authentication,incorrect_pin,12,1,1,1
341993,card,customer,payment_authorization,insufficient_funds,23,1,3,1
423620,card,unknown,unknown,unknown,5,1,3,0
285791,card,bank,payment_processing,bank_unavailable,15,0,3,0
81081,wallet,customer,payment_authentication,incorrect_pin,3,4,3,1
450177,card,gateway,payment_processing,payment_timed_out,1,2,2,0
395534,upi,customer,payment_authorization,insufficient_funds,22,5,1,1
205525,card,bank,payment_processing,bank_unavailable,3,2,5,0
277675,upi,customer,payment_authentication,incorrect_pin,15,4,5,0
482002,upi,customer,payment_authentication,expired_card,12,0,1,0
189318,upi,bank,payment_processing,bank_unavailable,19,2,3,0
13861,wallet,unknown,unknown,unknown,13,2,3,0
73714,netbanking,bank,payment_processing,bank_unavailable,16,0,4,1
300558,netbanking,customer,payment_authorization,insufficient_funds,21,2,5,0
498848,card,customer,payment_authentication,incorrect_pin,19,3,3,0
370211,netbanking,customer,payment_authorization,insufficient_funds,17,2,4,0
309375,upi,bank,payment_processing,bank_unavailable,3,3,5,0
162178,wallet,customer,payment_authentication,incorrect_pin,4,5,5,0
220252,netbanking,bank,payment_processing,bank_unavailable,11,5,2,1
20148,wallet,unknown,unknown,unknown,15,0,5,0
186193,upi,gateway,payment_processing,payment_timed_out,16,4,3,1
312111,card,customer,payment_authentication,expired_card,18,6,1,1
452959,netbanking,unknown,unknown,unknown,2,6,4,0
461290,card,gateway,payment_processing,payment_timed_out,4,2,5,1
410775,card,customer,payment_authentication,expired_card,3,5,2,0
11727,upi,unknown,unknown,unknown,12,5,3,0
405782,card,customer,payment_authentication,incorrect_pin,15,2,2,0
110090,upi,gateway,payment_processing,payment_timed_out,2,6,1,1
308483,card,customer,payment_authorization,insufficient_funds,20,4,5,0
473248,netbanking,gateway,payment_processing,payment_timed_out,7,5,1,0
444091,netbanking,unknown,unknown,unknown,15,5,3,0
332541,netbanking,bank,payment_processing,bank_unavailable,18,5,1,1
150340,card,customer,payment_authentication,incorrect_pin,0,6,4,1
260921,wallet,bank,payment_processing,bank_unavailable,20,6,5,0
352150,upi,bank,payment_processing,bank_unavailable,23,2,4,1
257592,card,unknown,unknown,unknown,23,3,4,1
202819,upi,unknown,unknown,unknown,3,4,5,0
202018,card,customer,payment_authentication,expired_card,9,5,5,0
300400,wallet,unknown,unknown,unknown,5,2,5,0
18856,card,bank,payment_processing,bank_unavailable,10,2,2,1
499079,wallet,bank,payment_processing,bank_unavailable,23,5,3,0
51930,card,unknown,unknown,unknown,18,6,5,0
492278,netbanking,gateway,payment_processing,payment_timed_out,18,6,2,1
18652,card,customer,payment_authentication,expired_card,10,1,4,0
256797,card,bank,payment_processing,bank_unavailable,22,6,1,0
209373,wallet,gateway,payment_processing,payment_timed_out,22,5,5,0
287358,wallet,gateway,payment_processing,payment_timed_out,19,1,4,1
217351,card,bank,payment_processing,bank_unavailable,19,0,4,0
448764,wallet,customer,payment_authentication,incorrect_pin,15,1,5,0
9315,card,customer,payment_authentication,incorrect_pin,2,6,2,0
492833,netbanking,customer,payment_authentication,incorrect_pin,6,5,3,1
345029,wallet,bank,payment_processing,bank_unavailable,18,4,5,1
389526,card,customer,payment_authentication,expired_card,7,4,1,0
70763,netbanking,gateway,payment_processing,payment_timed_out,4,2,5,0
33527,card,customer,payment_authorization,insufficient_funds,22,6,2,0
199115,upi,gateway,payment_processing,payment_timed_out,11,1,3,0
161997,upi,customer,payment_authentication,expired_card,20,2,3,1
391696,card,customer,payment_authentication,incorrect_pin,6,1,4,1
448385,wallet,bank,payment_processing,bank_unavailable,8,5,5,0
214304,upi,customer,payment_authorization,insufficient_funds,8,3,2,0
384408,card,unknown,unknown,unknown,8,4,1,0
30720,netbanking,unknown,unknown,unknown,10,6,3,0
371375,upi,gateway,payment_processing,payment_timed_out,7,1,4,0
50569,netbanking,customer,payment_authentication,expired_card,19,6,4,0
334294,card,bank,payment_processing,bank_unavailable,7,0,4,0
191692,wallet,customer,payment_authorization,insufficient_funds,10,5,2,0
208217,netbanking,gateway,payment_processing,payment_timed_out,20,4,5,1
138900,netbanking,customer,payment_authentication,incorrect_pin,10,5,1,1
202217,upi,customer,payment_authorization,insufficient_funds,0,1,1,1
437334,card,customer,payment_authentication,incorrect_pin,0,6,1,1
404658,wallet,bank,payment_processing,bank_unavailable,10,5,5,1
170818,upi,customer,payment_authorization,insufficient_funds,15,0,1,0
147596,wallet,customer,payment_authorization,insufficient_funds,22,3,4,0
255049,card,bank,payment_processing,bank_unavailable,3,5,5,0
342731,netbanking,unknown,unknown,unknown,13,3,4,1
91989,netbanking,customer,payment_authentication,expired_card,6,2,5,0
363378,card,gateway,payment_processing,payment_timed_out,10,1,1,1
474397,card,unknown,unknown,unknown,10,3,3,0
422434,netbanking,unknown,unknown,unknown,7,6,3,0
274589,upi,bank,payment_processing,bank_unavailable,0,4,4,1
160623,netbanking,unknown,unknown,unknown,1,5,4,0
162424,upi,unknown,unknown,unknown,12,5,3,0
371203,netbanking,unknown,unknown,unknown,5,5,2,1
227970,netbanking,bank,payment_processing,bank_unavailable,7,2,1,0
54138,upi,customer,payment_authorization,insufficient_funds,2,5,3,1
339146,wallet,customer,payment_authentication,expired_card,1,2,2,1
69892,card,unknown,unknown,unknown,3,4,3,0
493465,wallet,unknown,unknown,unknown,9,2,4,0
209251,upi,customer,payment_authentication,expired_card,3,6,3,0
171657,upi,customer,payment_authentication,incorrect_pin,5,5,3,0
28557,card,bank,payment_processing,bank_unavailable,7,4,1,1
84694,upi,gateway,payment_processing,payment_timed_out,6,3,4,1
473902,card,customer,payment_authentication,expired_card,0,3,3,0
269021,netbanking,bank,payment_processing,bank_unavailable,2,5,1,1
451046,upi,bank,payment_processing,bank_unavailable,22,1,2,1
478004,netbanking,customer,payment_authentication,incorrect_pin,16,5,4,0
25417,upi,customer,payment_authorization,insufficient_funds,2,1,5,0
191012,upi,gateway,payment_processing,payment_timed_out,6,0,3,0
419318,netbanking,customer,payment_authorization,insufficient_funds,9,5,5,0
248339,wallet,unknown,unknown,unknown,21,4,1,0
254928,upi,customer,payment_authentication,incorrect_pin,21,2,2,0
285478,card,customer,payment_authentication,expired_card,18,4,5,0
351280,wallet,bank,payment_processing,bank_unavailable,2,5,1,1
469439,wallet,gateway,payment_processing,payment_timed_out,11,5,4,0
443579,netbanking,unknown,unknown,unknown,11,6,2,0
312920,card,customer,payment_authentication,expired_card,15,5,2,0
288910,card,customer,payment_authentication,expired_card,20,3,3,0
181137,netbanking,gateway,payment_processing,payment_timed_out,7,1,2,0
59047,netbanking,customer,payment_authentication,expired_card,13,0,5,0
354797,card,customer,payment_authorization,insufficient_funds,6,4,5,0
2286,upi,bank,payment_processing,bank_unavailable,5,4,3,0
349388,upi,customer,payment_authorization,insufficient_funds,7,4,3,0
248964,wallet,bank,payment_processing,bank_unavailable,17,0,1,0
393453,card,customer,payment_authentication,expired_card,10,4,2,0
474667,card,customer,payment_authorization,insufficient_funds,16,5,1,1
276941,card,customer,payment_authorization,insufficient_funds,16,5,5,0
286738,wallet,gateway,payment_processing,payment_timed_out,8,3,2,1
244199,upi,bank,payment_processing,bank_unavailable,22,0,2,0
187097,upi,customer,payment_authorization,insufficient_funds,1,3,5,1
45349,card,gateway,payment_processing,payment_timed_out,21,4,4,1
16430,card,gateway,payment_processing,payment_timed_out,0,3,4,0
361781,netbanking,gateway,payment_processing,payment_timed_out,9,4,1,1
457575,card,gateway,payment_processing,payment_timed_out,19,3,3,1
27873,card,unknown,unknown,unknown,16,3,3,0
164251,wallet,customer,payment_authentication,expired_card,7,2,2,0
304495,upi,customer,payment_authorization,insufficient_funds,21,4,4,1
352684,netbanking,unknown,unknown,unknown,3,1,5,0
367907,netbanking,customer,payment_authorization,insufficient_funds,16,3,2,1
347425,card,customer,payment_authorization,insufficient_funds,12,2,2,0
42847,wallet,gateway,payment_processing,payment_timed_out,4,4,2,1
127687,card,unknown,unknown,unknown,22,6,5,0
235153,wallet,bank,payment_processing,bank_unavailable,18,4,1,0
32825,card,gateway,payment_processing,payment_timed_out,0,0,5,0
172249,netbanking,unknown,unknown,unknown,2,4,4,1
193115,netbanking,gateway,payment_processing,payment_timed_out,1,2,3,0
489071,wallet,customer,payment_authentication,incorrect_pin,9,0,3,1
159248,card,customer,payment_authentication,expired_card,10,1,5,0
485715,card,customer,payment_authorization,insufficient_funds,17,6,4,0
350428,upi,unknown,unknown,unknown,16,2,2,1
346443,card,customer,payment_authentication,incorrect_pin,0,1,1,1
410072,wallet,unknown,unknown,unknown,11,0,4,0
421314,upi,customer,payment_authorization,insufficient_funds,18,4,1,1
112000,wallet,bank,payment_processing,bank_unavailable,21,5,1,1
211036,netbanking,customer,payment_authorization,insufficient_funds,7,2,5,0
264587,upi,gateway,payment_processing,payment_timed_out,1,0,3,1
488405,card,bank,payment_processing,bank_unavailable,3,2,4,0
21263,netbanking,gateway,payment_processing,payment_timed_out,8,4,2,1
238916,card,customer,payment_authentication,incorrect_pin,10,0,1,1
107913,upi,bank,payment_processing,bank_unavailable,8,1,1,1
104196,netbanking,unknown,unknown,unknown,2,0,2,0
381119,netbanking,unknown,unknown,unknown,8,3,1,1
101744,upi,customer,payment_authorization,insufficient_funds,6,1,3,0
396906,card,bank,payment_processing,bank_unavailable,11,1,2,0
496968,upi,bank,payment_processing,bank_unavailable,1,0,3,1
388426,netbanking,customer,payment_authentication,expired_card,18,5,3,0
85791,netbanking,customer,payment_authentication,expired_card,10,3,2,0
72051,netbanking,customer,payment_authentication,incorrect_pin,7,6,3,1
219125,wallet,gateway,payment_processing,payment_timed_out,21,2,1,0
275966,wallet,customer,payment_authorization,insufficient_funds,17,1,2,0
389394,card,customer,payment_authorization,insufficient_funds,3,1,5,0
211931,upi,unknown,unknown,unknown,3,6,5,0
84364,netbanking,gateway,payment_processing,payment_timed_out,0,4,3,0
495752,wallet,bank,payment_processing,bank_unavailable,13,2,5,0
452374,wallet,unknown,unknown,unknown,8,4,3,1
327381,upi,bank,payment_processing,bank_unavailable,9,3,1,1
348035,upi,customer,payment_authentication,expired_card,12,0,5,0
467666,upi,customer,payment_authorization,insufficient_funds,12,4,3,0
237957,upi,customer,payment_authorization,insufficient_funds,0,0,4,0
73529,netbanking,bank,payment_processing,bank_unavailable,2,1,4,0
303374,netbanking,customer,payment_authentication,expired_card,18,4,2,1
225986,card,gateway,payment_processing,payment_timed_out,22,3,4,1
400076,card,bank,payment_processing,bank_unavailable,20,1,3,0
386032,wallet,unknown,unknown,unknown,21,0,2,0
236250,card,customer,payment_authentication,expired_card,11,4,2,0
184561,wallet,customer,payment_authentication,incorrect_pin,19,4,4,1
211605,wallet,gateway,payment_processing,payment_timed_out,21,1,2,1
316622,card,customer,payment_authentication,expired_card,21,2,1,0
318877,upi,bank,payment_processing,bank_unavailable,3,2,5,1
256339,wallet,bank,payment_processing,bank_unavailable,3,6,2,0
266407,netbanking,customer,payment_authorization,insufficient_funds,9,5,4,0
495973,card,customer,payment_authentication,expired_card,12,1,4,1
127614,netbanking,customer,payment_authentication,expired_card,22,3,5,0
87762,netbanking,bank,payment_processing,bank_unavailable,7,6,4,0
399785,wallet,customer,payment_authorization,insufficient_funds,19,2,4,0
467739,card,bank,payment_processing,bank_unavailable,21,0,5,1
304735,wallet,bank,payment_processing,bank_unavailable,23,2,5,0
201384,wallet,bank,payment_processing,bank_unavailable,4,4,1,1
174905,upi,customer,payment_authorization,insufficient_funds,5,6,4,0
234528,upi,customer,payment_authentication,expired_card,5,2,1,0
27175,netbanking,customer,payment_authorization,insufficient_funds,17,0,5,0
264772,upi,customer,payment_authentication,expired_card,16,1,1,0
135527,card,customer,payment_authentication,incorrect_pin,9,2,2,0
133418,card,bank,payment_processing,bank_unavailable,2,0,1,0
280616,wallet,gateway,payment_processing,payment_timed_out,12,0,4,0
481866,wallet,gateway,payment_processing,payment_timed_out,17,4,1,0
103724,upi,gateway,payment_processing,payment_timed_out,11,5,1,1
455833,wallet,gateway,payment_processing,payment_timed_out,6,1,3,0
260183,upi,customer,payment_authentication,incorrect_pin,14,3,5,0
486480,netbanking,bank,payment_processing,bank_unavailable,15,4,3,0
191724,wallet,customer,payment_authentication,expired_card,14,4,3,1
498463,wallet,gateway,payment_processing,payment_timed_out,20,6,4,0
330322,upi,customer,payment_authentication,expired_card,7,6,3,0
335230,wallet,unknown,unknown,unknown,14,2,2,1
282046,upi,customer,payment_authorization,insufficient_funds,20,6,3,1
226391,netbanking,customer,payment_authentication,incorrect_pin,5,0,1,0
263032,card,customer,payment_authentication,incorrect_pin,6,6,2,0
425517,card,customer,payment_authentication,expired_card,1,0,4,0
396383,upi,customer,payment_authentication,expired_card,8,0,2,0
12878,wallet,customer,payment_authorization,insufficient_funds,1,0,1,0
347615,card,gateway,payment_processing,payment_timed_out,17,0,1,1
417368,netbanking,gateway,payment_processing,payment_timed_out,2,3,5,0
372325,card,bank,payment_processing,bank_unavailable,16,4,2,0
249146,card,customer,payment_authorization,insufficient_funds,13,5,1,0
168421,wallet,gateway,payment_processing,payment_timed_out,23,0,4,1
336937,upi,gateway,payment_processing,payment_timed_out,8,2,3,0
332177,netbanking,customer,payment_authorization,insufficient_funds,8,0,3,1
187649,netbanking,customer,payment_authorization,insufficient_funds,5,1,5,0
203769,card,bank,payment_processing,bank_unavailable,12,5,2,1
184943,card,customer,payment_authentication,expired_card,5,4,3,1
23453,upi,customer,payment_authentication,incorrect_pin,2,1,4,1
16826,wallet,unknown,unknown,unknown,22,2,4,0
42456,wallet,bank,payment_processing,bank_unavailable,16,6,2,0
212471,upi,bank,payment_processing,bank_unavailable,2,4,4,1
255697,upi,customer,payment_authentication,incorrect_pin,14,1,4,1
204769,upi,unknown,unknown,unknown,7,6,1,0
477631,upi,customer,payment_authorization,insufficient_funds,4,1,1,0
113170,wallet,unknown,unknown,unknown,11,2,4,0
197089,wallet,bank,payment_processing,bank_unavailable,18,4,1,0
124414,upi,unknown,unknown,unknown,0,3,5,0
150575,netbanking,customer,payment_authorization,insufficient_funds,8,0,1,0
292486,upi,customer,payment_authentication,incorrect_pin,22,5,5,1
155644,card,gateway,payment_processing,payment_timed_out,9,1,4,1
159568,netbanking,gateway,payment_processing,payment_timed_out,2,4,3,0
335743,netbanking,customer,payment_authentication,expired_card,10,2,2,0
415296,wallet,customer,payment_authentication,incorrect_pin,16,5,2,0
107070,upi,unknown,unknown,unknown,23,6,4,1
56581,upi,bank,payment_processing,bank_unavailable,15,5,4,0
120500,card,unknown,unknown,unknown,1,6,2,1
289245,card,unknown,unknown,unknown,19,3,3,0
479885,wallet,unknown,unknown,unknown,18,0,5,0
80862,wallet,gateway,payment_processing,payment_timed_out,15,3,2,0
22340,card,gateway,payment_processing,payment_timed_out,21,3,4,0
264592,wallet,customer,payment_authentication,expired_card,18,5,1,0
495476,card,customer,payment_authentication,incorrect_pin,5,1,5,0
276720,netbanking,bank,payment_processing,bank_unavailable,10,4,1,0
462309,card,gateway,payment_processing,payment_timed_out,12,3,2,0
321507,upi,gateway,payment_processing,payment_timed_out,11,4,3,0
16769,wallet,customer,payment_authentication,expired_card,15,2,2,0
214285,upi,gateway,payment_processing,payment_timed_out,16,2,1,1
385253,upi,customer,payment_authentication,incorrect_pin,2,1,4,0
255228,upi,bank,payment_processing,bank_unavailable,13,5,1,0
98204,card,customer,payment_authentication,expired_card,0,0,5,0
91295,upi,unknown,unknown,unknown,12,1,1,1
332106,upi,customer,payment_authorization,insufficient_funds,10,2,2,0
232045,netbanking,customer,payment_authorization,insufficient_funds,4,1,5,0
287492,wallet,bank,payment_processing,bank_unavailable,23,6,1,1
187142,upi,customer,payment_authorization,insufficient_funds,6,2,1,1
170182,card,customer,payment_authentication,expired_card,1,1,4,0
333400,netbanking,customer,payment_authentication,expired_card,8,1,1,0
4873,wallet,gateway,payment_processing,payment_timed_out,18,1,5,0
217976,netbanking,unknown,unknown,unknown,0,4,3,0
185975,wallet,customer,payment_authentication,incorrect_pin,11,3,5,1
389892,netbanking,customer,payment_authorization,insufficient_funds,10,1,2,0
364480,card,customer,payment_authorization,insufficient_funds,20,6,1,0
213570,upi,customer,payment_authorization,insufficient_funds,0,4,5,0
132093,wallet,gateway,payment_processing,payment_timed_out,0,2,4,1
118650,wallet,customer,payment_authentication,incorrect_pin,13,3,5,0
106417,upi,customer,payment_authentication,incorrect_pin,4,4,2,1
137570,netbanking,unknown,unknown,unknown,16,1,3,1
380529,upi,unknown,unknown,unknown,6,5,3,1
23597,netbanking,customer,payment_authorization,insufficient_funds,13,1,3,0
14037,wallet,customer,payment_authorization,insufficient_funds,0,0,2,1
270420,upi,customer,payment_authentication,expired_card,16,3,2,1
112504,card,customer,payment_authentication,expired_card,12,6,4,0
415610,upi,unknown,unknown,unknown,0,5,1,0
376350,netbanking,bank,payment_processing,bank_unavailable,6,2,2,1
384787,wallet,customer,payment_authentication,incorrect_pin,1,2,2,1
229057,upi,bank,payment_processing,bank_unavailable,1,4,1,0
219457,card,customer,payment_authentication,expired_card,16,1,1,0
213367,wallet,customer,payment_authentication,expired_card,10,5,3,0
98864,card,customer,payment_authentication,expired_card,19,2,1,1
284096,upi,unknown,unknown,unknown,6,1,2,1
431879,card,gateway,payment_processing,payment_timed_out,17,0,3,0
129059,netbanking,customer,payment_authorization,insufficient_funds,14,4,5,1
29333,netbanking,bank,payment_processing,bank_unavailable,15,0,1,1
282789,card,gateway,payment_processing,payment_timed_out,19,5,3,0
200212,wallet,bank,payment_processing,bank_unavailable,16,6,1,1
398930,netbanking,bank,payment_processing,bank_unavailable,17,0,3,1
428451,card,customer,payment_authorization,insufficient_funds,17,0,3,0
475369,wallet,customer,payment_authorization,insufficient_funds,10,6,4,0
